Date,Humidity,Evaporation,Rainfall,Temperature,Precipitation,Wind Speed
16-03-2000,12.52691841,1.08E-05,0,305.3990479,0,8.379799843
17-03-2000,12.29343605,1.03E-05,0,306.0917053,0,8.781177521
18-03-2000,28.42146683,8.34E-06,0,306.8907471,0,13.17749977
19-03-2000,41.18241882,8.76E-06,0,306.1855164,0,7.882340908
20-03-2000,49.68379211,8.76E-06,0,304.9093018,0,6.40277195
21-03-2000,25.30360031,9.54E-06,0,306.3497925,0,6.984520912
22-03-2000,17.27366638,9.54E-06,0,309.2658691,0,8.457028389
23-03-2000,21.36799049,8.52E-06,0,308.7028809,0,8.735696793
24-03-2000,13.22906303,8.58E-06,0,309.042572,0,8.073083878
25-03-2000,22.03375435,7.87E-06,0,306.6635742,0,6.732666492
26-03-2000,18.6875,7.33E-06,0,307.2928467,0,7.336246967
27-03-2000,22.96875,6.97E-06,0,307.5640259,0,7.294783115
28-03-2000,22.31885529,6.62E-06,0,307.8900146,0,8.060152054
29-03-2000,24.31496811,6.38E-06,0,307.8345337,0,6.442624092
30-03-2000,41.63380432,5.60E-06,0,305.881958,0,6.5670681
31-03-2000,30.80324936,5.30E-06,0,308.2794189,0,9.636015892
01-04-2000,21.50059128,5.19E-06,0,310.8199463,0,13.05764675
02-04-2000,19.13836288,5.13E-06,0,311.6066284,0,11.21970844
03-04-2000,18.97949791,5.25E-06,0,311.3417358,0,7.431666374
04-04-2000,27.4275322,4.53E-06,0,310.6304321,0,9.533725739
05-04-2000,37.75732422,3.99E-06,0,309.4085083,0,12.76625061
06-04-2000,34.25478363,3.99E-06,0,310.6195679,0,11.18021107
07-04-2000,41.03125,3.58E-06,0,309.6862183,0,14.18101597
08-04-2000,26.71331215,3.81E-06,0,311.4197083,0,11.41784573
09-04-2000,33.32697678,3.46E-06,0,311.7153931,0.0390625,13.03002644
10-04-2000,16.01577759,4.05E-06,0,311.9591675,0,7.128705978
11-04-2000,34.4161911,3.22E-06,0,310.0301514,0,11.70921707
12-04-2000,42.21875,2.74E-06,0,308.2338867,0.03125,11.86103058
13-04-2000,34.25,3.04E-06,0,309.5782166,0,12.29952526
14-04-2000,40.23444366,2.92E-06,0,308.5831909,0,14.42873287
15-04-2000,44.53125,2.86E-06,3.81E-06,307.5975037,0.234375,9.089882851
16-04-2000,45.25530624,2.92E-06,0,307.4771729,0,8.313169479
17-04-2000,46.75244904,2.74E-06,1.05E-05,307.9743347,0.03125,13.02343273
18-04-2000,42.19286728,2.68E-06,0,308.9234619,0,17.28043747
19-04-2000,39.52003479,2.74E-06,0,310.5260315,0,13.00412464
20-04-2000,37.68240356,2.68E-06,0,311.2158203,0,15.02478504
21-04-2000,43.70829773,2.50E-06,0,309.3204956,0,16.24615479
22-04-2000,44.03097534,2.44E-06,0,309.7139893,0,14.10459232
23-04-2000,43.11843491,2.38E-06,0,309.6753235,0,12.93313885
24-04-2000,44.45723724,2.26E-06,0,308.8208923,0,16.29164124
25-04-2000,47.58606339,2.26E-06,0,307.7558594,0.015625,15.17856312
26-04-2000,57.6562767,2.09E-06,0,306.5014038,0,17.6405983
27-04-2000,47.95639038,2.15E-06,0,308.9752808,0,14.90023041
28-04-2000,49.32938766,2.09E-06,0,308.5475464,0,16.23986816
29-04-2000,48.29357147,2.03E-06,0,309.4411011,0,17.86438942
30-04-2000,50.23461151,1.97E-06,0,308.7649536,0,17.48844719
01-05-2000,46.69517136,1.97E-06,0,309.619873,0,17.14083099
02-05-2000,55.94495773,1.91E-06,0,307.1717529,0,17.30801392
03-05-2000,48.5797081,2.26E-06,0,307.8581543,0,15.01746655
04-05-2000,63.26652908,3.76E-06,3.62E-05,304.3705139,1.5,6.86300087
05-05-2000,55.93955994,5.36E-06,1.96E-05,305.2912598,0.25,6.809916973
06-05-2000,54.75177383,5.13E-06,2.86E-05,305.2379456,0.3125,8.693012238
07-05-2000,51.85608292,5.42E-06,5.72E-06,305.5880737,0.25,8.945412636
08-05-2000,71.08660126,4.47E-06,4.29E-05,303.3914185,0.75,8.201704025
09-05-2000,58.12841415,6.14E-06,2.96E-05,306.7644043,0.625,9.096783638
10-05-2000,41.46985245,9.54E-06,0,310.4413452,1.3125,10.82639122
11-05-2000,44.29645538,7.75E-06,0,309.9141235,1.1328125,8.480891228
12-05-2000,45.83325958,9.42E-06,0,310.1672058,3.046875,7.023395538
13-05-2000,39.04776382,1.25E-05,0,311.3232422,0.0625,7.187702656
14-05-2000,45.45018768,9.89E-06,0,310.5137634,5.484375,10.12764549
15-05-2000,54.01229858,8.52E-06,0,308.5557861,0.0703125,7.523925781
16-05-2000,69.29393768,4.59E-06,3.24E-05,305.6376343,0.046875,7.678839207
17-05-2000,52.59905243,7.57E-06,0,309.4155273,2.109375,9.555291176
